tweet_id,favorites,retweets
833479644947025920,15585,2217
833124694597443584,21189,5189
832998151111966721,13952,2379
832769181346996225,0,40
832757312314028032,17660,3884
832682457690300417,12464,3150
832645525019123713,3066,556
832636094638288896,16628,2994
832397543355072512,12531,2387
832369877331693569,18032,3426
832273440279240704,11873,2507
832215909146226688,0,6655
832215726631055365,0,10083
832088576586297345,70,2
832040443403784192,0,10441
832032802820481025,18716,4980
831939777352105988,25198,6586
831926988323639298,359,35
831911600680497154,29071,7016
831670449226514432,10982,1948
831650051525054464,7556,2084
831552930092285952,9453,2467
831322785565769729,9683,1643
831315979191906304,6864,1198
831309418084069378,12330,2624
831262627380748289,12531,2203
830956169170665475,8373,1609
830583320585068544,70350,18105
830173239259324417,0,6140
830097400375152640,10340,3228
829878982036299777,0,5408
829861396166877184,12869,2104
829501995190984704,33416,11437
829449946868879360,11010,2188
829374341691346946,36439,10025
829141528400556032,25779,7987
829011960981237760,55793,17500
828801551087042563,0,3665
828770345708580865,26913,6326
828708714936930305,38556,12111
828650029636317184,10003,1453
828409743546925057,6627,1241
828408677031882754,8065,1385
828381636999917570,13295,2404
828376505180889089,7774,1147
828372645993398273,13218,3178
828361771580813312,2312,183
828046555563323392,12393,3088
828011680017821696,10913,2315
827933404142436356,21226,5636
827653905312006145,16239,3243
827600520311402496,7805,1023
827324948884643840,16726,3310
827199976799354881,11143,2422
826958653328592898,22760,5408
826848821049180160,38467,11033
826615380357632002,0,4273
826598799820865537,5389,272
826598365270007810,10630,2537
826476773533745153,19437,4533
826240494070030336,14021,2801
826204788643753985,5156,1008
826115272272650244,16530,3397
825876512159186944,11052,2024
825829644528148480,13449,2691
825535076884762624,55008,18593
825147591692263424,19340,4949
825120256414846976,0,1382
825026590719483904,6707,1382
824796380199809024,0,5950
824775126675836928,15833,3808
824663926340194305,10655,1882
824325613288833024,12460,11243
824297048279236611,15916,4192
824025158776213504,5045,639
823939628516474880,11250,2935
823719002937630720,0,12146
823699002998870016,13309,2616
823581115634085888,13794,2865
823333489516937216,736,27
823322678127919110,16655,4354
823269594223824897,0,10677
822975315408461824,18284,3729
822872901745569793,140072,47540
822859134160621569,13998,2480
822647212903690241,0,6952
822610361945911296,15641,3224
822489057087389700,19224,6952
822462944365645825,30138,15887
822244816520155136,37076,10677
822163064745328640,0,5214
821886076407029760,12014,2540
821813639212650496,0,3629
821765923262631936,8915,1809
821522889702862852,8501,1926
821421320206483457,0,6068
821407182352777218,12467,4714
821153421864615936,268,10
821149554670182400,9237,2189
821107785811234820,10157,2309
821044531881721856,13429,2487
820837357901512704,0,7284
820749716845686786,33448,10762
820690176645140481,12938,3495
820494788566847489,0,613
820446719150292993,0,2809
820314633777061888,3537,613
820078625395449857,21010,6839
820013781606658049,0,1284
819952236453363712,5638,1284
819924195358416896,13643,5259
819711362133872643,14269,3402
819588359383371776,10150,2141
819347104292290561,7654,1314
819238181065359361,2420,438
819227688460238848,24487,7284
819015337530290176,0,39937
819015331746349057,0,20585
819006400881917954,47934,20585
819004803107983360,91975,39937
818646164899774465,0,22702
818627210458333184,23548,8105
818614493328580609,10472,2812
818588835076603904,0,6681
818536468981415936,11583,2695
818307523543449600,0,8843
818259473185828864,11710,2487
818145370475810820,13040,2826
817908911860748288,5140,859
817827839487737858,55042,29568
817777686764523521,11363,2910
817536400337801217,12534,3303
817502432452313088,0,3695
817423860136083457,36320,16279
817415592588222464,5964,1047
817181837579653120,0,9259
817171292965273600,9268,2194
817120970343411712,12929,2854
817056546584727552,9116,1801
816829038950027264,0,5139
816816676327063552,10625,2214
816697700272001025,10423,2403
816450570814898180,32498,8843
816336735214911488,9139,2128
816091915477250048,9484,2353
816062466425819140,0,1133
816014286006976512,0,5789
815990720817401858,5316,1133
815966073409433600,23862,9259
815745968457060357,0,4503
815736392542261248,10463,2480
815639385530101762,8737,1792
815390420867969024,11014,4154
814986499976527872,8127,1409
814638523311648768,11994,2954
814578408554463233,0,6322
814530161257443328,9211,2027
814153002265309185,30626,9465
813944609378369540,0,3485
813910438903693312,9897,2049
813812741911748608,38710,15288
813800681631023104,8882,1918
813217897535406080,19877,7972
813202720496779264,9786,1961
813187593374461952,21116,4772
813172488309972993,9929,2088
813157409116065792,8265,2421
813142292504645637,8978,2573
813130366689148928,4755,485
813127251579564032,12628,3413
813112105746448384,10992,3011
813096984823349248,11220,3931
813081950185472002,10520,3023
813066809284972545,8483,2120
813051746834595840,22324,8007
812781120811126785,8084,2087
812709060537683968,7056,1559
812503143955202048,6468,1330
812466873996607488,8512,2106
812372279581671427,14595,4007
811985624773361665,7735,1536
811744202451197953,8042,1753
811647686436880384,5941,810
811627233043480576,13628,3409
811386762094317568,22281,6985
810984652412424192,5677,1563
810896069567610880,9644,1954
810657578271330305,11689,2893
810284430598270976,37771,12445
810254108431155201,15649,3665
809920764300447744,16516,4273
809808892968534016,0,5353
809448704142938112,7388,1605
809220051211603969,21240,6140
809084759137812480,14089,3832
808838249661788160,10772,3325
808733504066486276,8437,2372
808501579447930884,12023,2848
808344865868283904,45319,22702
808134635716833280,0,6504
808106460588765185,9321,2402
808001312164028416,13413,3868
807621403335917568,15540,4019
807106840509214720,126746,60782
807059379405148160,0,8017
807010152071229440,13926,4188
806629075125202948,80173,38112
